"GeneName" "ImmunePathway"
"645" "TAFA4" "Antimicrobials"
"646" "TAFA1" "Antimicrobials"
"647" "TAFA2" "Antimicrobials"
"648" "CCL15-CCL14" "Antimicrobials"
"649" "IL6" "Antimicrobials"
"650" "TNF" "Antimicrobials"
"651" "IL1B" "Antimicrobials"
"652" "IL18" "Antimicrobials"
"653" "PTK2B" "Antimicrobials"
"654" "VEGFA" "Antimicrobials"
"655" "IL4" "Antimicrobials"
"656" "CDH1" "Antimicrobials"
"657" "CD40" "Antimicrobials"
"658" "DEFB103B" "Antimicrobials"
"659" "F2RL1" "Antimicrobials"
"660" "MMP9" "Antimicrobials"
"661" "LTBP1" "Antimicrobials"
"662" "DEFB4A" "Antimicrobials"
"663" "TNFSF10" "Antimicrobials"
"664" "IL13" "Antimicrobials"
"665" "IL10" "Antimicrobials"
"666" "IL2" "Antimicrobials"
"667" "PPARG" "Antimicrobials"
"668" "FGR" "Antimicrobials"
"669" "MIF" "Antimicrobials"
"670" "CRP" "Antimicrobials"
"671" "JAK2" "Antimicrobials"
"672" "IL1A" "Antimicrobials"
"673" "PTK2" "Antimicrobials"
"674" "PTGDR" "Antimicrobials"
"675" "CD86" "Antimicrobials"
"676" "HCK" "Antimicrobials"
"677" "ARRB1" "Antimicrobials"
"678" "GNAI1" "Antimicrobials"
"679" "VDR" "Antimicrobials"
"680" "OLR1" "Antimicrobials"
"681" "GRK2" "Antimicrobials"
"682" "TXK" "Antimicrobials"
"683" "RNASE2" "Antimicrobials"
"684" "CD79A" "BCR_Signaling_Pathway"
"685" "CD79B" "BCR_Signaling_Pathway"
"686" "LYN" "BCR_Signaling_Pathway"
"687" "SYK" "BCR_Signaling_Pathway"
"688" "BTK" "BCR_Signaling_Pathway"
"689" "BLNK" "BCR_Signaling_Pathway"
"690" "VAV3" "BCR_Signaling_Pathway"
"691" "VAV1" "BCR_Signaling_Pathway"
"692" "VAV2" "BCR_Signaling_Pathway"
"693" "RAC1" "BCR_Signaling_Pathway"
"694" "RAC2" "BCR_Signaling_Pathway"
"695" "RAC3" "BCR_Signaling_Pathway"
"696" "PPP3CA" "BCR_Signaling_Pathway"
"697" "PPP3CB" "BCR_Signaling_Pathway"
"698" "PPP3CC" "BCR_Signaling_Pathway"
"699" "CHP1" "BCR_Signaling_Pathway"
"700" "PPP3R1" "BCR_Signaling_Pathway"
"701" "PPP3R2" "BCR_Signaling_Pathway"
"702" "CHP2" "BCR_Signaling_Pathway"
"703" "NFAT5" "BCR_Signaling_Pathway"
"704" "NFATC1" "BCR_Signaling_Pathway"
"705" "NFATC2" "BCR_Signaling_Pathway"
"706" "NFATC3" "BCR_Signaling_Pathway"
"707" "NFATC4" "BCR_Signaling_Pathway"
"708" "HRAS" "BCR_Signaling_Pathway"
"709" "KRAS" "BCR_Signaling_Pathway"
"710" "NRAS" "BCR_Signaling_Pathway"
"711" "FOS" "BCR_Signaling_Pathway"
"712" "JUN" "BCR_Signaling_Pathway"
"713" "CARD11" "BCR_Signaling_Pathway"
"714" "BCL10" "BCR_Signaling_Pathway"
"715" "MALT1" "BCR_Signaling_Pathway"
"716" "CHUK" "BCR_Signaling_Pathway"
"717" "IKBKB" "BCR_Signaling_Pathway"
"718" "IKBKG" "BCR_Signaling_Pathway"
"719" "NFKB1" "BCR_Signaling_Pathway"
"720" "RELA" "BCR_Signaling_Pathway"
"721" "NFKBIA" "BCR_Signaling_Pathway"
"722" "NFKBIB" "BCR_Signaling_Pathway"
"723" "NFKBIE" "BCR_Signaling_Pathway"
"724" "CD81" "BCR_Signaling_Pathway"
"725" "CD19" "BCR_Signaling_Pathway"
"726" "CR2" "BCR_Signaling_Pathway"
"727" "PIK3R5" "BCR_Signaling_Pathway"
"728" "PIK3R1" "BCR_Signaling_Pathway"
"729" "PIK3R2" "BCR_Signaling_Pathway"
"730" "PIK3R3" "BCR_Signaling_Pathway"
"731" "PIK3CA" "BCR_Signaling_Pathway"
"732" "PIK3CB" "BCR_Signaling_Pathway"
"733" "PIK3CD" "BCR_Signaling_Pathway"
"734" "PIK3CG" "BCR_Signaling_Pathway"
"735" "AKT3" "BCR_Signaling_Pathway"
"736" "AKT1" "BCR_Signaling_Pathway"
"737" "AKT2" "BCR_Signaling_Pathway"
"738" "GSK3B" "BCR_Signaling_Pathway"
"739" "INPP5D" "BCR_Signaling_Pathway"
"740" "CD22" "BCR_Signaling_Pathway"
"741" "CD72" "BCR_Signaling_Pathway"
"742" "PTPN6" "BCR_Signaling_Pathway"
"743" "LILRB3" "BCR_Signaling_Pathway"
"744" "FCGR2B" "BCR_Signaling_Pathway"
"745" "RASGRP3" "BCR_Signaling_Pathway"
"746" "PLCG2" "BCR_Signaling_Pathway"
"747" "PRKCB" "BCR_Signaling_Pathway"
"748" "IFITM1" "BCR_Signaling_Pathway"
"749" "IGH" "BCR_Signaling_Pathway"
"750" "IGHA1" "BCR_Signaling_Pathway"
"751" "IGHA2" "BCR_Signaling_Pathway"
"752" "IGHD" "BCR_Signaling_Pathway"
"753" "IGHD1-1" "BCR_Signaling_Pathway"
"754" "IGHD1-14" "BCR_Signaling_Pathway"
"755" "IGHD1-20" "BCR_Signaling_Pathway"
"756" "IGHD1-26" "BCR_Signaling_Pathway"
"757" "IGHD1-7" "BCR_Signaling_Pathway"
"758" "IGHD2-15" "BCR_Signaling_Pathway"
"759" "IGHD2-2" "BCR_Signaling_Pathway"
"760" "IGHD2-21" "BCR_Signaling_Pathway"
"761" "IGHD2-8" "BCR_Signaling_Pathway"
"762" "IGHD3-10" "BCR_Signaling_Pathway"
"763" "IGHD3-16" "BCR_Signaling_Pathway"
"764" "IGHD3-22" "BCR_Signaling_Pathway"
"765" "IGHD3-3" "BCR_Signaling_Pathway"
"766" "IGHD3-9" "BCR_Signaling_Pathway"
"767" "IGHD4-11" "BCR_Signaling_Pathway"
"768" "IGHD4-17" "BCR_Signaling_Pathway"
"769" "IGHD4-23" "BCR_Signaling_Pathway"
"770" "IGHD4-4" "BCR_Signaling_Pathway"
"771" "IGHD5-12" "BCR_Signaling_Pathway"
"772" "IGHD5-18" "BCR_Signaling_Pathway"
"773" "IGHD5-24" "BCR_Signaling_Pathway"
"774" "IGHD5-5" "BCR_Signaling_Pathway"
"775" "IGHD6-13" "BCR_Signaling_Pathway"
"776" "IGHD6-19" "BCR_Signaling_Pathway"
"777" "IGHD6-25" "BCR_Signaling_Pathway"
"778" "IGHD6-6" "BCR_Signaling_Pathway"
"779" "IGHD7-27" "BCR_Signaling_Pathway"
"780" "IGHE" "BCR_Signaling_Pathway"
"781" "IGHG1" "BCR_Signaling_Pathway"
"782" "IGHG2" "BCR_Signaling_Pathway"
"783" "IGHG3" "BCR_Signaling_Pathway"
"784" "IGHG4" "BCR_Signaling_Pathway"
"785" "IGHJ1" "BCR_Signaling_Pathway"
"786" "IGHJ2" "BCR_Signaling_Pathway"
"787" "IGHJ3" "BCR_Signaling_Pathway"
"788" "IGHJ4" "BCR_Signaling_Pathway"
"789" "IGHJ5" "BCR_Signaling_Pathway"
"790" "IGHJ6" "BCR_Signaling_Pathway"
"791" "IGHM" "BCR_Signaling_Pathway"
"792" "IGH" "BCR_Signaling_Pathway"
"793" "IGHV1-18" "BCR_Signaling_Pathway"
"794" "IGHV1-2" "BCR_Signaling_Pathway"
"795" "IGHV1-24" "BCR_Signaling_Pathway"
"796" "IGHV1-3" "BCR_Signaling_Pathway"
"797" "IGHV1-45" "BCR_Signaling_Pathway"
"798" "IGHV1-46" "BCR_Signaling_Pathway"
"799" "IGHV1-58" "BCR_Signaling_Pathway"
"800" "IGHV1-69" "BCR_Signaling_Pathway"
"801" "IGHV1-8" "BCR_Signaling_Pathway"
"802" "IGHV1-38-4" "BCR_Signaling_Pathway"
"803" "IGHV1-69-2" "BCR_Signaling_Pathway"
"804" "IGHV2-26" "BCR_Signaling_Pathway"
"805" "IGHV2-5" "BCR_Signaling_Pathway"
"806" "IGHV2-70" "BCR_Signaling_Pathway"
"807" "IGHV3-11" "BCR_Signaling_Pathway"
"808" "IGHV3-13" "BCR_Signaling_Pathway"
"809" "IGHV3-15" "BCR_Signaling_Pathway"
"810" "IGHV3-16" "BCR_Signaling_Pathway"
"811" "IGHV3-20" "BCR_Signaling_Pathway"
"812" "IGHV3-21" "BCR_Signaling_Pathway"
"813" "IGHV3-23" "BCR_Signaling_Pathway"
"814" "IGHV3-30" "BCR_Signaling_Pathway"
"815" "IGHV3-30-3" "BCR_Signaling_Pathway"
"816" "IGHV3-30-5" "BCR_Signaling_Pathway"
"817" "IGHV3-33" "BCR_Signaling_Pathway"
"818" "IGHV3-35" "BCR_Signaling_Pathway"
"819" "IGHV3-38" "BCR_Signaling_Pathway"
"820" "IGHV3-43" "BCR_Signaling_Pathway"
"821" "IGHV3-48" "BCR_Signaling_Pathway"
"822" "IGHV3-49" "BCR_Signaling_Pathway"
"823" "IGHV3-53" "BCR_Signaling_Pathway"
"824" "IGHV3-64" "BCR_Signaling_Pathway"
"825" "IGHV3-66" "BCR_Signaling_Pathway"
"826" "IGHV3-7" "BCR_Signaling_Pathway"
"827" "IGHV3-72" "BCR_Signaling_Pathway"
"828" "IGHV3-73" "BCR_Signaling_Pathway"
"829" "IGHV3-74" "BCR_Signaling_Pathway"
"830" "IGHV3-9" "BCR_Signaling_Pathway"
"831" "IGHV3-38-3" "BCR_Signaling_Pathway"
"832" "IGHV3-69-1" "BCR_Signaling_Pathway"
"833" "IGHV4-28" "BCR_Signaling_Pathway"
"834" "IGHV4-30-1" "BCR_Signaling_Pathway"
"835" "IGHV4-30-2" "BCR_Signaling_Pathway"
"836" "IGHV4-30-4" "BCR_Signaling_Pathway"
"837" "IGHV4-31" "BCR_Signaling_Pathway"
"838" "IGHV4-34" "BCR_Signaling_Pathway"
"839" "IGHV4-39" "BCR_Signaling_Pathway"
"840" "IGHV4-4" "BCR_Signaling_Pathway"
"841" "IGHV4-59" "BCR_Signaling_Pathway"
"842" "IGHV4-61" "BCR_Signaling_Pathway"
"843" "IGHV4-38-2" "BCR_Signaling_Pathway"
"844" "IGHV5-51" "BCR_Signaling_Pathway"
"845" "IGHV5-10-1" "BCR_Signaling_Pathway"
"846" "IGHV6-1" "BCR_Signaling_Pathway"
"847" "IGHV7-4-1" "BCR_Signaling_Pathway"
"848" "IGHV7-81" "BCR_Signaling_Pathway"
"849" "IGK" "BCR_Signaling_Pathway"
"850" "IGKC" "BCR_Signaling_Pathway"
"851" "IGKDEL" "BCR_Signaling_Pathway"
"852" "IGKJ" "BCR_Signaling_Pathway"
"853" "IGKJ1" "BCR_Signaling_Pathway"
"854" "IGKJ2" "BCR_Signaling_Pathway"
"855" "IGKJ3" "BCR_Signaling_Pathway"
"856" "IGKJ4" "BCR_Signaling_Pathway"
"857" "IGKJ5" "BCR_Signaling_Pathway"
"858" "IGKV@" "BCR_Signaling_Pathway"
"859" "IGKV1-12" "BCR_Signaling_Pathway"
"860" "IGKV1-13" "BCR_Signaling_Pathway"
"861" "IGKV1-16" "BCR_Signaling_Pathway"
"862" "IGKV1-17" "BCR_Signaling_Pathway"
"863" "IGKV1-27" "BCR_Signaling_Pathway"
"864" "IGKV1-33" "BCR_Signaling_Pathway"
"865" "IGKV1-37" "BCR_Signaling_Pathway"
"866" "IGKV1-39" "BCR_Signaling_Pathway"
"867" "IGKV1-5" "BCR_Signaling_Pathway"
"868" "IGKV1-6" "BCR_Signaling_Pathway"
"869" "IGKV1-8" "BCR_Signaling_Pathway"
"870" "IGKV1-9" "BCR_Signaling_Pathway"
"871" "IGKV1D-12" "BCR_Signaling_Pathway"
"872" "IGKV1D-13" "BCR_Signaling_Pathway"
"873" "IGKV1D-16" "BCR_Signaling_Pathway"
"874" "IGKV1D-17" "BCR_Signaling_Pathway"
"875" "IGKV1D-33" "BCR_Signaling_Pathway"
"876" "IGKV1D-37" "BCR_Signaling_Pathway"
"877" "IGKV1D-39" "BCR_Signaling_Pathway"
"878" "IGKV1D-42" "BCR_Signaling_Pathway"
"879" "IGKV1D-43" "BCR_Signaling_Pathway"
"880" "IGKV1D-8" "BCR_Signaling_Pathway"
"881" "IGKV2-24" "BCR_Signaling_Pathway"
"882" "IGKV2-28" "BCR_Signaling_Pathway"
"883" "IGKV2-30" "BCR_Signaling_Pathway"
"884" "IGKV2-40" "BCR_Signaling_Pathway"
"885" "IGKV2D-24" "BCR_Signaling_Pathway"
"886" "IGKV2D-28" "BCR_Signaling_Pathway"
"887" "IGKV2D-29" "BCR_Signaling_Pathway"
"888" "IGKV2D-30" "BCR_Signaling_Pathway"
"889" "IGKV2D-40" "BCR_Signaling_Pathway"
"890" "IGKV3-11" "BCR_Signaling_Pathway"
"891" "IGKV3-15" "BCR_Signaling_Pathway"
"892" "IGKV3-20" "BCR_Signaling_Pathway"
"893" "IGKV3-7" "BCR_Signaling_Pathway"
"894" "IGKV3D-11" "BCR_Signaling_Pathway"
"895" "IGKV3D-15" "BCR_Signaling_Pathway"
"896" "IGKV3D-20" "BCR_Signaling_Pathway"
"897" "IGKV3D-7" "BCR_Signaling_Pathway"
"898" "IGKV4-1" "BCR_Signaling_Pathway"
"899" "IGKV5-2" "BCR_Signaling_Pathway"
"900" "IGKV6-21" "BCR_Signaling_Pathway"
"901" "IGKV6D-21" "BCR_Signaling_Pathway"
"902" "IGKV6D-41" "BCR_Signaling_Pathway"
"903" "IGL" "BCR_Signaling_Pathway"
"904" "IGLC1" "BCR_Signaling_Pathway"
"905" "IGLC2" "BCR_Signaling_Pathway"
"906" "IGLC3" "BCR_Signaling_Pathway"
"907" "IGLC6" "BCR_Signaling_Pathway"
"908" "IGLC7" "BCR_Signaling_Pathway"
"909" "IGLJ" "BCR_Signaling_Pathway"
"910" "IGLJ1" "BCR_Signaling_Pathway"
"911" "IGLJ2" "BCR_Signaling_Pathway"
"912" "IGLJ3" "BCR_Signaling_Pathway"
"913" "IGLJ4" "BCR_Signaling_Pathway"
"914" "IGLJ5" "BCR_Signaling_Pathway"
"915" "IGLJ6" "BCR_Signaling_Pathway"
"916" "IGLJ7" "BCR_Signaling_Pathway"
"917" "IGLV@" "BCR_Signaling_Pathway"
"918" "IGLV1-36" "BCR_Signaling_Pathway"
"919" "IGLV1-40" "BCR_Signaling_Pathway"
"920" "IGLV1-44" "BCR_Signaling_Pathway"
"921" "IGLV1-47" "BCR_Signaling_Pathway"
"922" "IGLV1-50" "BCR_Signaling_Pathway"
"923" "IGLV1-51" "BCR_Signaling_Pathway"
"924" "IGLV10-54" "BCR_Signaling_Pathway"
"925" "IGLV11-55" "BCR_Signaling_Pathway"
"926" "IGLV2-11" "BCR_Signaling_Pathway"
"927" "IGLV2-14" "BCR_Signaling_Pathway"
"928" "IGLV2-18" "BCR_Signaling_Pathway"
"929" "IGLV2-23" "BCR_Signaling_Pathway"
"930" "IGLV2-33" "BCR_Signaling_Pathway"
"931" "IGLV2-8" "BCR_Signaling_Pathway"
"932" "IGLV3-1" "BCR_Signaling_Pathway"
"933" "IGLV3-10" "BCR_Signaling_Pathway"
"934" "IGLV3-12" "BCR_Signaling_Pathway"
"935" "IGLV3-16" "BCR_Signaling_Pathway"
"936" "IGLV3-19" "BCR_Signaling_Pathway"
"937" "IGLV3-21" "BCR_Signaling_Pathway"
"938" "IGLV3-22" "BCR_Signaling_Pathway"
"939" "IGLV3-25" "BCR_Signaling_Pathway"
"940" "IGLV3-27" "BCR_Signaling_Pathway"
"941" "IGLV3-32" "BCR_Signaling_Pathway"
"942" "IGLV3-9" "BCR_Signaling_Pathway"
"943" "IGLV4-3" "BCR_Signaling_Pathway"
"944" "IGLV4-60" "BCR_Signaling_Pathway"
"945" "IGLV4-69" "BCR_Signaling_Pathway"
"946" "IGLV5-37" "BCR_Signaling_Pathway"
"947" "IGLV5-39" "BCR_Signaling_Pathway"
"948" "IGLV5-45" "BCR_Signaling_Pathway"
"949" "IGLV5-48" "BCR_Signaling_Pathway"
"950" "IGLV5-52" "BCR_Signaling_Pathway"
"951" "IGLV6-57" "BCR_Signaling_Pathway"
"952" "IGLV7-43" "BCR_Signaling_Pathway"
"953" "IGLV7-46" "BCR_Signaling_Pathway"
"954" "IGLV8-61" "BCR_Signaling_Pathway"
"955" "IGLV9-49" "BCR_Signaling_Pathway"
"956" "C5AR1" "Chemokine_Receptors"
"957" "ACKR2" "Chemokine_Receptors"
"958" "CCR1" "Chemokine_Receptors"
"959" "CCR10" "Chemokine_Receptors"
"960" "CCR3" "Chemokine_Receptors"
"961" "CCR4" "Chemokine_Receptors"
"962" "CCR5" "Chemokine_Receptors"
"963" "CCR6" "Chemokine_Receptors"
"964" "CCR7" "Chemokine_Receptors"
"965" "CCR8" "Chemokine_Receptors"
"966" "CCR9" "Chemokine_Receptors"
"967" "ACKR4" "Chemokine_Receptors"
"968" "CCRL2" "Chemokine_Receptors"
"969" "CMKLR1" "Chemokine_Receptors"
"970" "CX3CR1" "Chemokine_Receptors"
"971" "CXCR3" "Chemokine_Receptors"
"972" "CXCR4" "Chemokine_Receptors"
"973" "CXCR5" "Chemokine_Receptors"
"974" "CXCR6" "Chemokine_Receptors"
"975" "ACKR3" "Chemokine_Receptors"
"976" "CYSLTR1" "Chemokine_Receptors"
"977" "CYSLTR2" "Chemokine_Receptors"
"978" "ACKR1" "Chemokine_Receptors"
"979" "EDNRA" "Chemokine_Receptors"
"980" "EDNRB" "Chemokine_Receptors"
"981" "FPR1" "Chemokine_Receptors"
"982" "FPR2" "Chemokine_Receptors"
"983" "FPR2" "Chemokine_Receptors"
"984" "GPR17" "Chemokine_Receptors"
"985" "GPR32" "Chemokine_Receptors"
"986" "GPR33" "Chemokine_Receptors"
"987" "PTGDR2" "Chemokine_Receptors"
"988" "C5AR2" "Chemokine_Receptors"
"989" "CXCR1" "Chemokine_Receptors"
"990" "CXCR2" "Chemokine_Receptors"
"991" "LTB4R" "Chemokine_Receptors"
"992" "LTB4R2" "Chemokine_Receptors"
"993" "PLAUR" "Chemokine_Receptors"
"994" "PLXNA1" "Chemokine_Receptors"
"995" "PLXNA2" "Chemokine_Receptors"
"996" "PLXNA3" "Chemokine_Receptors"
"997" "PLXNA4" "Chemokine_Receptors"
"998" "PLXNB1" "Chemokine_Receptors"
"999" "PLXNB2" "Chemokine_Receptors"
"1000" "PLXNB3" "Chemokine_Receptors"
"1001" "PLXNC1" "Chemokine_Receptors"
"1002" "PLXND1" "Chemokine_Receptors"
"1003" "PTAFR" "Chemokine_Receptors"
"1004" "ROBO1" "Chemokine_Receptors"
"1005" "ROBO2" "Chemokine_Receptors"
"1006" "ROBO3" "Chemokine_Receptors"
"1007" "RXFP3" "Chemokine_Receptors"
"1008" "XCR1" "Chemokine_Receptors"
"1009" "C3" "Chemokines"
"1010" "C5" "Chemokines"
"1011" "CAMP" "Chemokines"
"1012" "CCL1" "Chemokines"
"1013" "CCL11" "Chemokines"
"1014" "CCL13" "Chemokines"
"1015" "CCL14" "Chemokines"
"1016" "CCL15-CCL14" "Chemokines"
"1017" "CCL15" "Chemokines"
"1018" "CCL16" "Chemokines"
"1019" "CCL17" "Chemokines"
"1020" "CCL18" "Chemokines"
"1021" "CCL19" "Chemokines"
"1022" "CCL2" "Chemokines"
"1023" "CCL20" "Chemokines"
"1024" "CCL21" "Chemokines"
"1025" "CCL22" "Chemokines"
"1026" "CCL23" "Chemokines"
"1027" "CCL24" "Chemokines"
"1028" "CCL25" "Chemokines"
"1029" "CCL26" "Chemokines"
"1030" "CCL27" "Chemokines"
"1031" "CCL28" "Chemokines"
"1032" "CCL3" "Chemokines"
"1033" "CCL3L1" "Chemokines"
"1034" "CCL3P1" "Chemokines"
"1035" "CCL3L3" "Chemokines"
"1036" "CCL4" "Chemokines"
"1037" "CCL4L2" "Chemokines"
"1038" "CCL4L1" "Chemokines"
"1039" "CCL5" "Chemokines"
"1040" "CCL7" "Chemokines"
"1041" "CCL8" "Chemokines"
"1042" "CKLF" "Chemokines"
"1043" "CMA1" "Chemokines"
"1044" "CTSG" "Chemokines"
"1045" "CX3CL1" "Chemokines"
"1046" "CXCL1" "Chemokines"
"1047" "CXCL10" "Chemokines"
"1048" "CXCL11" "Chemokines"
"1049" "CXCL12" "Chemokines"
"1050" "CXCL13" "Chemokines"
"1051" "CXCL14" "Chemokines"
"1052" "CXCL16" "Chemokines"
"1053" "CXCL17" "Chemokines"
"1054" "CXCL2" "Chemokines"
"1055" "CXCL3" "Chemokines"
"1056" "CXCL5" "Chemokines"
"1057" "CXCL6" "Chemokines"
"1058" "CXCL9" "Chemokines"
"1059" "CCN1" "Chemokines"
"1060" "DEFA1" "Chemokines"
"1061" "DEFA3" "Chemokines"
"1062" "DEFA5" "Chemokines"
"1063" "DEFB1" "Chemokines"
"1064" "DEFB103B" "Chemokines"
"1065" "DEFB104A" "Chemokines"
"1066" "DEFB4A" "Chemokines"
"1067" "EDN1" "Chemokines"
"1068" "EDN2" "Chemokines"
"1069" "EDN3" "Chemokines"
"1070" "FGF10" "Chemokines"
"1071" "FGF2" "Chemokines"
"1072" "HTN3" "Chemokines"
"1073" "CXCL8" "Chemokines"
"1074" "LECT2" "Chemokines"
"1075" "PF4" "Chemokines"
"1076" "PF4V1" "Chemokines"
"1077" "PLAU" "Chemokines"
"1078" "PPBP" "Chemokines"
"1079" "PPBPP1" "Chemokines"
"1080" "PROK2" "Chemokines"
"1081" "RNASE2" "Chemokines"
"1082" "SAA1" "Chemokines"
"1083" "SAA2" "Chemokines"
"1084" "SBDS" "Chemokines"
"1085" "SEMA3A" "Chemokines"
"1086" "SEMA3B" "Chemokines"
"1087" "SEMA3C" "Chemokines"
"1088" "SEMA3D" "Chemokines"
"1089" "SEMA3E" "Chemokines"
"1090" "SEMA3F" "Chemokines"
"1091" "SEMA3G" "Chemokines"
"1092" "SEMA4A" "Chemokines"
"1093" "SEMA4B" "Chemokines"
"1094" "SEMA4C" "Chemokines"
"1095" "SEMA4D" "Chemokines"
"1096" "SEMA4F" "Chemokines"
"1097" "SEMA4G" "Chemokines"
"1098" "SEMA5A" "Chemokines"
"1099" "SEMA5B" "Chemokines"
"1100" "SEMA6A" "Chemokines"
"1101" "SEMA6B" "Chemokines"
"1102" "SEMA6C" "Chemokines"
"1103" "SEMA6D" "Chemokines"
"1104" "SEMA7A" "Chemokines"
"1105" "SLIT1" "Chemokines"
"1106" "SLIT2" "Chemokines"
"1107" "TNC" "Chemokines"
"1108" "TYMP" "Chemokines"
"1109" "XCL1" "Chemokines"
"1110" "XCL2" "Chemokines"
"1111" "ACVR1B" "Cytokine_Receptors"
"1112" "ACVR1C" "Cytokine_Receptors"
"1113" "ACVR2A" "Cytokine_Receptors"
"1114" "ACVR2B" "Cytokine_Receptors"
"1115" "ACVRL1" "Cytokine_Receptors"
"1116" "ADCYAP1R1" "Cytokine_Receptors"
"1117" "ADIPOR1" "Cytokine_Receptors"
"1118" "ADIPOR2" "Cytokine_Receptors"
"1119" "ADRB1" "Cytokine_Receptors"
"1120" "ADRB2" "Cytokine_Receptors"
"1121" "AGTR1" "Cytokine_Receptors"
"1122" "AGTR2" "Cytokine_Receptors"
"1123" "AMHR2" "Cytokine_Receptors"
"1124" "ANGPT1" "Cytokine_Receptors"
"1125" "ANGPT4" "Cytokine_Receptors"
"1126" "ANGPTL1" "Cytokine_Receptors"
"1127" "ANGPTL2" "Cytokine_Receptors"
"1128" "ANGPTL3" "Cytokine_Receptors"
"1129" "ANGPTL4" "Cytokine_Receptors"
"1130" "ANGPTL6" "Cytokine_Receptors"
"1131" "APLNR" "Cytokine_Receptors"
"1132" "AR" "Cytokine_Receptors"
"1133" "AVPR1A" "Cytokine_Receptors"
"1134" "AVPR1B" "Cytokine_Receptors"
"1135" "AVPR2" "Cytokine_Receptors"
"1136" "BMPR1A" "Cytokine_Receptors"
"1137" "BMPR1B" "Cytokine_Receptors"
"1138" "BMPR2" "Cytokine_Receptors"
"1139" "BRD8" "Cytokine_Receptors"
"1140" "C3AR1" "Cytokine_Receptors"
"1141" "C5AR1" "Cytokine_Receptors"
"1142" "CALCR" "Cytokine_Receptors"
"1143" "CALCRL" "Cytokine_Receptors"
"1144" "ACKR2" "Cytokine_Receptors"
"1145" "CCR1" "Cytokine_Receptors"
"1146" "CCR10" "Cytokine_Receptors"
"1147" "CCR3" "Cytokine_Receptors"
"1148" "CCR4" "Cytokine_Receptors"
"1149" "CCR5" "Cytokine_Receptors"
"1150" "CCR6" "Cytokine_Receptors"
"1151" "CCR7" "Cytokine_Receptors"
"1152" "CCR8" "Cytokine_Receptors"
"1153" "CCR9" "Cytokine_Receptors"
"1154" "ACKR4" "Cytokine_Receptors"
"1155" "CCRL2" "Cytokine_Receptors"
"1156" "CD40" "Cytokine_Receptors"
"1157" "CMKLR1" "Cytokine_Receptors"
"1158" "CNTFR" "Cytokine_Receptors"
"1159" "CRHR1" "Cytokine_Receptors"
"1160" "CRHR2" "Cytokine_Receptors"
"1161" "CRIM1" "Cytokine_Receptors"
"1162" "CRLF1" "Cytokine_Receptors"
"1163" "CRLF2" "Cytokine_Receptors"
"1164" "CRLF3" "Cytokine_Receptors"
"1165" "CSF1R" "Cytokine_Receptors"
"1166" "CSF2RA" "Cytokine_Receptors"
"1167" "CSF2RB" "Cytokine_Receptors"
"1168" "CSF3R" "Cytokine_Receptors"
"1169" "CX3CR1" "Cytokine_Receptors"
"1170" "CXCR3" "Cytokine_Receptors"
"1171" "CXCR4" "Cytokine_Receptors"
"1172" "CXCR5" "Cytokine_Receptors"
"1173" "CXCR6" "Cytokine_Receptors"
"1174" "ACKR3" "Cytokine_Receptors"
"1175" "CYSLTR1" "Cytokine_Receptors"
"1176" "CYSLTR2" "Cytokine_Receptors"
"1177" "ACKR1" "Cytokine_Receptors"
"1178" "EDNRA" "Cytokine_Receptors"
"1179" "EDNRB" "Cytokine_Receptors"
"1180" "EGFR" "Cytokine_Receptors"
"1181" "ENG" "Cytokine_Receptors"
"1182" "EPOR" "Cytokine_Receptors"
"1183" "ESR1" "Cytokine_Receptors"
"1184" "ESR2" "Cytokine_Receptors"
"1185" "ESRRA" "Cytokine_Receptors"
"1186" "ESRRB" "Cytokine_Receptors"
"1187" "ESRRG" "Cytokine_Receptors"
"1188" "FGFR1" "Cytokine_Receptors"
"1189" "FGFR2" "Cytokine_Receptors"
"1190" "FGFR3" "Cytokine_Receptors"
"1191" "FGFR4" "Cytokine_Receptors"
"1192" "FGFRL1" "Cytokine_Receptors"
"1193" "FLT1" "Cytokine_Receptors"
"1194" "FLT3" "Cytokine_Receptors"
"1195" "FLT4" "Cytokine_Receptors"
"1196" "FPR1" "Cytokine_Receptors"
"1197" "FPR2" "Cytokine_Receptors"
"1198" "FPR2" "Cytokine_Receptors"
"1199" "FSHR" "Cytokine_Receptors"
"1200" "GALR2" "Cytokine_Receptors"
"1201" "GALR3" "Cytokine_Receptors"
"1202" "GCGR" "Cytokine_Receptors"
"1203" "GHR" "Cytokine_Receptors"
"1204" "GHRHR" "Cytokine_Receptors"
"1205" "GHSR" "Cytokine_Receptors"
"1206" "GIPR" "Cytokine_Receptors"
"1207" "GLP1R" "Cytokine_Receptors"
"1208" "GLP2R" "Cytokine_Receptors"
"1209" "GNRHR" "Cytokine_Receptors"
"1210" "GPER1" "Cytokine_Receptors"
"1211" "GPR17" "Cytokine_Receptors"
"1212" "GPR32" "Cytokine_Receptors"
"1213" "GPR33" "Cytokine_Receptors"
"1214" "PTGDR2" "Cytokine_Receptors"
"1215" "C5AR2" "Cytokine_Receptors"
"1216" "HNF4A" "Cytokine_Receptors"
"1217" "HNF4G" "Cytokine_Receptors"
"1218" "HTR3A" "Cytokine_Receptors"
"1219" "HTR3B" "Cytokine_Receptors"
"1220" "HTR3C" "Cytokine_Receptors"
"1221" "HTR3D" "Cytokine_Receptors"
