"GeneName" "ImmunePathway"
"168" "PF4" "Antimicrobials"
"169" "XCL1" "Antimicrobials"
"170" "CXCL3" "Antimicrobials"
"171" "DEFB103B" "Antimicrobials"
"172" "CCL13" "Antimicrobials"
"173" "CCL1" "Antimicrobials"
"174" "DEFB1" "Antimicrobials"
"175" "CCL8" "Antimicrobials"
"176" "ELANE" "Antimicrobials"
"177" "DEFB103A" "Antimicrobials"
"178" "DEFA3" "Antimicrobials"
"179" "DEFA1" "Antimicrobials"
"180" "TMSB10" "Antimicrobials"
"181" "DEFA6" "Antimicrobials"
"182" "DEFA5" "Antimicrobials"
"183" "DEFA4" "Antimicrobials"
"184" "LCN2" "Antimicrobials"
"185" "LCN1" "Antimicrobials"
"186" "COLEC10" "Antimicrobials"
"187" "BPI" "Antimicrobials"
"188" "S100A9" "Antimicrobials"
"189" "S100A8" "Antimicrobials"
"190" "DCD" "Antimicrobials"
"191" "LCN6" "Antimicrobials"
"192" "S100A12" "Antimicrobials"
"193" "HTN3" "Antimicrobials"
"194" "LCN8" "Antimicrobials"
"195" "DEFA1B" "Antimicrobials"
"196" "CCR10" "Antimicrobials"
"197" "CELA1" "Antimicrobials"
"198" "DEFB106A" "Antimicrobials"
"199" "PENK" "Antimicrobials"
"200" "BPIFC" "Antimicrobials"
"201" "MMP12" "Antimicrobials"
"202" "BPIFB6" "Antimicrobials"
"203" "LEAP2" "Antimicrobials"
"204" "SFTPD" "Antimicrobials"
"205" "LCN9" "Antimicrobials"
"206" "BPIFB2" "Antimicrobials"
"207" "PTGDS" "Antimicrobials"
"208" "TMSB4X" "Antimicrobials"
"209" "PGLYRP1" "Antimicrobials"
"210" "ZC3HAV1" "Antimicrobials"
"211" "TMSB15A" "Antimicrobials"
"212" "S100B" "Antimicrobials"
"213" "S100A13" "Antimicrobials"
"214" "S100A6" "Antimicrobials"
"215" "DEFB119" "Antimicrobials"
"216" "DEFB107A" "Antimicrobials"
"217" "DEFB105A" "Antimicrobials"
"218" "SERPIND1" "Antimicrobials"
"219" "DEFB129" "Antimicrobials"
"220" "DEFB127" "Antimicrobials"
"221" "S100P" "Antimicrobials"
"222" "S100A7" "Antimicrobials"
"223" "DEFB104A" "Antimicrobials"
"224" "DEFB126" "Antimicrobials"
"225" "DEFB106B" "Antimicrobials"
"226" "DEFB104B" "Antimicrobials"
"227" "DEFB107B" "Antimicrobials"
"228" "PGLYRP3" "Antimicrobials"
"229" "PGLYRP2" "Antimicrobials"
"230" "S100A10" "Antimicrobials"
"231" "S100A2" "Antimicrobials"
"232" "DEFB125" "Antimicrobials"
"233" "DEFB123" "Antimicrobials"
"234" "DEFB105B" "Antimicrobials"
"235" "DEFB132" "Antimicrobials"
"236" "BPIFB3" "Antimicrobials"
"237" "LCN12" "Antimicrobials"
"238" "PGLYRP4" "Antimicrobials"
"239" "S100A11" "Antimicrobials"
"240" "S100A5" "Antimicrobials"
"241" "S100A3" "Antimicrobials"
"242" "S100A1" "Antimicrobials"
"243" "DEFB128" "Antimicrobials"
"244" "DEFB108B" "Antimicrobials"
"245" "HTN1" "Antimicrobials"
"246" "LMBR1L" "Antimicrobials"
"247" "S100A7A" "Antimicrobials"
"248" "DEFB118" "Antimicrobials"
"249" "COLEC12" "Antimicrobials"
"250" "TMSB4Y" "Antimicrobials"
"251" "DEFB131A" "Antimicrobials"
"252" "DEFB134" "Antimicrobials"
"253" "DEFB130A" "Antimicrobials"
"254" "DEFB124" "Antimicrobials"
"255" "DEFB121" "Antimicrobials"
"256" "DEFB116" "Antimicrobials"
"257" "DEFB115" "Antimicrobials"
"258" "DEFB114" "Antimicrobials"
"259" "DEFB113" "Antimicrobials"
"260" "DEFB112" "Antimicrobials"
"261" "DEFB110" "Antimicrobials"
"262" "TMSB15B" "Antimicrobials"
"263" "DEFB133" "Antimicrobials"
"264" "S100Z" "Antimicrobials"
"265" "MAVS" "Antimicrobials"
"266" "TMSB4XP8" "Antimicrobials"
"267" "S100A14" "Antimicrobials"
"268" "LCN10" "Antimicrobials"
"269" "S100A16" "Antimicrobials"
"270" "DEFB136" "Antimicrobials"
"271" "DEFB135" "Antimicrobials"
"272" "DEFB117" "Antimicrobials"
"273" "DEFB110" "Antimicrobials"
"274" "ZC3HAV1L" "Antimicrobials"
"275" "S100A7L2" "Antimicrobials"
"276" "MBL3P" "Antimicrobials"
"277" "DEFB4B" "Antimicrobials"
"278" "BPIFB4" "Antimicrobials"
"279" "IFNAR1" "Antimicrobials"
"280" "AZU1" "Antimicrobials"
"281" "DEFB131B" "Antimicrobials"
"282" "DEFA1A3" "Antimicrobials"
"283" "LCN1P1" "Antimicrobials"
"284" "S100G" "Antimicrobials"
"285" "DEFA7P" "Antimicrobials"
"286" "DEFB130B" "Antimicrobials"
"287" "DEFB108F" "Antimicrobials"
"288" "DEFB131C" "Antimicrobials"
"289" "TCHHL1" "Antimicrobials"
"290" "TINAGL1" "Antimicrobials"
"291" "IFNGR1" "Antimicrobials"
"292" "SLC22A17" "Antimicrobials"
"293" "WFIKKN1" "Antimicrobials"
"294" "WFDC2" "Antimicrobials"
"295" "IL6" "Antimicrobials"
"296" "UMODL1" "Antimicrobials"
"297" "TGFB1" "Antimicrobials"
"298" "PF4V1" "Antimicrobials"
"299" "MMP9" "Antimicrobials"
"300" "ANOS1" "Antimicrobials"
"301" "TLR4" "Antimicrobials"
"302" "IFNG" "Antimicrobials"
"303" "SPAG11B" "Antimicrobials"
"304" "A2M" "Antimicrobials"
"305" "CTSL" "Antimicrobials"
"306" "NFKB1" "Antimicrobials"
"307" "APOBEC3G" "Antimicrobials"
"308" "FABP6" "Antimicrobials"
"309" "NOD2" "Antimicrobials"
"310" "MBL2" "Antimicrobials"
"311" "SFTPA1" "Antimicrobials"
"312" "RBP1" "Antimicrobials"
"313" "TLR2" "Antimicrobials"
"314" "SLC40A1" "Antimicrobials"
"315" "PLAU" "Antimicrobials"
"316" "IL1B" "Antimicrobials"
"317" "PAEP" "Antimicrobials"
"318" "HJV" "Antimicrobials"
"319" "MUC5AC" "Antimicrobials"
"320" "CTSS" "Antimicrobials"
"321" "OBP2A" "Antimicrobials"
"322" "PLTP" "Antimicrobials"
"323" "MX1" "Antimicrobials"
"324" "DDX58" "Antimicrobials"
"325" "IFNL1" "Antimicrobials"
"326" "IRF3" "Antimicrobials"
"327" "SFTPA2" "Antimicrobials"
"328" "LPA" "Antimicrobials"
"329" "LBP" "Antimicrobials"
"330" "RBP4" "Antimicrobials"
"331" "SFTPA1" "Antimicrobials"
"332" "NOX4" "Antimicrobials"
"333" "LTF" "Antimicrobials"
"334" "IFNB1" "Antimicrobials"
"335" "RBP5" "Antimicrobials"
"336" "FABP7" "Antimicrobials"
"337" "FABP5" "Antimicrobials"
"338" "FABP3" "Antimicrobials"
"339" "FABP2" "Antimicrobials"
"340" "FABP4" "Antimicrobials"
"341" "R3HDML" "Antimicrobials"
"342" "BPIFA3" "Antimicrobials"
"343" "BPIFB1" "Antimicrobials"
"344" "OASL" "Antimicrobials"
"345" "CRABP2" "Antimicrobials"
"346" "CRABP1" "Antimicrobials"
"347" "RBP7" "Antimicrobials"
"348" "DUOX1" "Antimicrobials"
"349" "OBP2B" "Antimicrobials"
"350" "RBP2" "Antimicrobials"
"351" "LCN15" "Antimicrobials"
"352" "CETP" "Antimicrobials"
"353" "FABP12" "Antimicrobials"
"354" "FABP9" "Antimicrobials"
"355" "BPIFA1" "Antimicrobials"
"356" "LCNL1" "Antimicrobials"
"357" "C8G" "Antimicrobials"
"358" "SPAG11A" "Antimicrobials"
"359" "PI15" "Antimicrobials"
"360" "NOX1" "Antimicrobials"
"361" "PMP2" "Antimicrobials"
"362" "APOD" "Antimicrobials"
"363" "ORM2" "Antimicrobials"
"364" "ORM1" "Antimicrobials"
"365" "TNF" "Antimicrobials"
"366" "CTSG" "Antimicrobials"
"367" "PRTN3" "Antimicrobials"
"368" "MAPK1" "Antimicrobials"
"369" "PML" "Antimicrobials"
"370" "AEN" "Antimicrobials"
"371" "CYBB" "Antimicrobials"
"372" "BPIFA2" "Antimicrobials"
"373" "ISG20" "Antimicrobials"
"374" "BCL3" "Antimicrobials"
"375" "ISG20L2" "Antimicrobials"
"376" "NOX5" "Antimicrobials"
"377" "NOX3" "Antimicrobials"
"378" "DUOX2" "Antimicrobials"
"379" "TLR3" "Antimicrobials"
"380" "TFRC" "Antimicrobials"
"381" "IFIH1" "Antimicrobials"
"382" "LRP1" "Antimicrobials"
"383" "TRIM5" "Antimicrobials"
"384" "IDO1" "Antimicrobials"
"385" "GDF15" "Antimicrobials"
"386" "NEDD4" "Antimicrobials"
"387" "ADIPOQ" "Antimicrobials"
"388" "STAT3" "Antimicrobials"
"389" "STAT1" "Antimicrobials"
"390" "IFNL2" "Antimicrobials"
"391" "SOCS3" "Antimicrobials"
"392" "SEMG1" "Antimicrobials"
"393" "TNFSF10" "Antimicrobials"
"394" "CCL20" "Antimicrobials"
"395" "SOCS1" "Antimicrobials"
"396" "RNASEL" "Antimicrobials"
"397" "IRF1" "Antimicrobials"
"398" "IL15" "Antimicrobials"
"399" "APOBEC3F" "Antimicrobials"
"400" "PLAAT4" "Antimicrobials"
"401" "CHIT1" "Antimicrobials"
"402" "IFNA1" "Antimicrobials"
"403" "CD40" "Antimicrobials"
"404" "TLR7" "Antimicrobials"
"405" "PPIA" "Antimicrobials"
"406" "HFE" "Antimicrobials"
"407" "ZYX" "Antimicrobials"
"408" "NLRX1" "Antimicrobials"
"409" "PGC" "Antimicrobials"
"410" "VEGFA" "Antimicrobials"
"411" "IKBKE" "Antimicrobials"
"412" "ISG15" "Antimicrobials"
"413" "DHX58" "Antimicrobials"
"414" "TNFAIP3" "Antimicrobials"
"415" "TFR2" "Antimicrobials"
"416" "FCN2" "Antimicrobials"
"417" "MUC4" "Antimicrobials"
"418" "F2R" "Antimicrobials"
"419" "ELN" "Antimicrobials"
"420" "IL27" "Antimicrobials"
"421" "MAPT" "Antimicrobials"
"422" "LYZ" "Antimicrobials"
"423" "CCL5" "Antimicrobials"
"424" "LEP" "Antimicrobials"
"425" "CYLD" "Antimicrobials"
"426" "KLKB1" "Antimicrobials"
"427" "CST4" "Antimicrobials"
"428" "CSRP1" "Antimicrobials"
"429" "MAPK14" "Antimicrobials"
"430" "JUN" "Antimicrobials"
"431" "ITGAV" "Antimicrobials"
"432" "IRF5" "Antimicrobials"
"433" "CCR6" "Antimicrobials"
"434" "IL12B" "Antimicrobials"
"435" "TLR8" "Antimicrobials"
"436" "GNLY" "Antimicrobials"
"437" "CD81" "Antimicrobials"
"438" "EIF2AK2" "Antimicrobials"
"439" "APOM" "Antimicrobials"
"440" "CACYBP" "Antimicrobials"
"441" "NOD1" "Antimicrobials"
"442" "MAPK8" "Antimicrobials"
"443" "MAPK3" "Antimicrobials"
